customer_id,customer_code,gender,age,country,city,segment,signup_date,acquisition_channel,loyalty_contact_pref
1,CUST_00001,Male,27,Jordan,Zarqa,Regular,2024-01-07,App,Push
2,CUST_00002,Female,38,Saudi Arabia,Riyadh,Budget,2021-06-14,App,Email
3,CUST_00003,Female,69,Jordan,Amman,Premium,2021-06-16,Website,Push
4,CUST_00004,Female,53,Jordan,Amman,Premium,2022-06-20,Referral,SMS
5,CUST_00005,Male,67,Saudi Arabia,Dammam,Budget,2021-07-20,Store,SMS
6,CUST_00006,Male,67,Saudi Arabia,Riyadh,Budget,2024-09-20,Store,Email
7,CUST_00007,Female,58,UAE,Sharjah,Budget,2021-03-11,Store,Email
8,CUST_00008,Female,62,UAE,Abu Dhabi,Regular,2024-08-28,Store,None
9,CUST_00009,Female,59,UAE,Dubai,Regular,2021-01-06,Website,Push
10,CUST_00010,Female,34,UAE,Dubai,Budget,2022-01-13,Website,Email
11,CUST_00011,Male,29,Jordan,Zarqa,Regular,2021-10-19,App,Email
12,CUST_00012,Female,61,Jordan,Irbid,Regular,2021-10-06,Store,None
13,CUST_00013,Female,50,Saudi Arabia,Jeddah,Budget,2021-07-02,Referral,Push
14,CUST_00014,Female,22,Jordan,Zarqa,Budget,2023-06-21,Website,Push
15,CUST_00015,Female,18,UAE,Abu Dhabi,Regular,2022-07-06,App,None
16,CUST_00016,Male,42,Jordan,Aqaba,Budget,2021-09-02,Store,Push
17,CUST_00017,Male,62,UAE,Sharjah,Premium,2023-02-16,Store,Email
18,CUST_00018,Female,48,Egypt,Cairo,Regular,2023-10-12,Website,Push
19,CUST_00019,Male,33,UAE,Dubai,Budget,2022-08-26,Website,Email
20,CUST_00020,Male,38,Saudi Arabia,Jeddah,Regular,2025-11-11,App,Push
21,CUST_00021,Female,66,Egypt,Cairo,Premium,2022-04-25,Referral,Push
22,CUST_00022,Female,48,Egypt,Alexandria,Regular,2021-01-11,Store,Push
23,CUST_00023,Female,56,Egypt,Giza,Regular,2022-01-27,Website,Push
