snapshot_month,store_id,product_id,stock_on_hand,reorder_point,ending_stock
2024-01-01,1,1,167,41,170
2024-01-01,1,2,175,30,178
2024-01-01,1,3,140,73,155
2024-01-01,1,4,320,75,325
2024-01-01,1,5,226,14,215
2024-01-01,1,6,325,12,329
2024-01-01,1,7,175,49,136
2024-01-01,1,8,255,13,251
2024-01-01,1,9,178,12,148
2024-01-01,1,10,217,15,179
2024-01-01,1,11,192,23,169
2024-01-01,1,12,308,24,285
2024-01-01,1,13,187,57,156
2024-01-01,1,14,336,56,331
2024-01-01,1,15,312,24,311
2024-01-01,1,16,225,37,211
2024-01-01,1,17,240,13,247
2024-01-01,1,18,141,13,150
2024-01-01,1,19,316,79,325
2024-01-01,1,20,252,23,235
2024-01-01,1,21,118,35,81
2024-01-01,1,22,135,14,102
2024-01-01,1,23,242,41,254
2024-01-01,1,24,261,40,228
2024-01-01,1,25,128,26,126
2024-01-01,1,26,337,28,341
2024-01-01,1,27,166,13,158
2024-01-01,1,28,231,17,219
2024-01-01,1,29,120,13,132
2024-01-01,1,30,181,78,171
2024-01-01,1,31,189,48,187
2024-01-01,1,32,107,63,103
2024-01-01,1,33,213,33,210
2024-01-01,1,34,194,28,182
2024-01-01,1,35,159,15,171
2024-01-01,1,36,251,24,236
2024-01-01,1,37,149,68,152
2024-01-01,1,38,242,21,218
2024-01-01,1,39,259,15,257
2024-01-01,1,40,293,14,258
2024-01-01,1,41,251,31,220
2024-01-01,1,42,265,73,255
2024-01-01,1,43,180,42,177
2024-01-01,1,44,217,42,217
2024-01-01,1,45,148,18,134
2024-01-01,1,46,182,15,183
2024-01-01,1,47,227,56,231
2024-01-01,1,48,314,19,276
2024-01-01,1,49,84,20,45
2024-01-01,1,50,194,53,208
2024-01-01,1,51,312,48,300
2024-01-01,1,52,198,67,215
2024-01-01,1,53,93,79,56
2024-01-01,1,54,208,11,169
2024-01-01,1,55,174,18,145
2024-01-01,1,56,173,26,154
2024-01-01,1,57,317,27,318
2024-01-01,1,58,317,18,301
2024-01-01,1,59,101,68,102
2024-01-01,1,60,253,36,222
2024-01-01,1,61,112,23,107
2024-01-01,1,62,227,12,222
2024-01-01,1,63,171,24,148
2024-01-01,1,64,217,37,236
2024-01-01,1,65,332,48,346
2024-01-01,1,66,344,49,316
2024-01-01,1,67,289,18,299
2024-01-01,1,68,193,20,208
2024-01-01,1,69,115,36,101
2024-01-01,1,70,269,16,249
2024-01-01,1,71,109,28,124
2024-01-01,1,72,303,34,307
2024-01-01,1,73,325,43,316
2024-01-01,1,74,153,52,163
2024-01-01,1,75,332,10,327
2024-01-01,1,76,236,15,242
2024-01-01,1,77,83,25,47
2024-01-01,1,78,171,18,137
2024-01-01,1,79,173,15,152
2024-01-01,1,80,92,34,107
2024-01-01,1,81,142,13,136
2024-01-01,1,82,314,14,321
2024-01-01,1,83,202,35,185
2024-01-01,1,84,339,23,333
2024-01-01,1,85,240,35,260
2024-01-01,1,86,293,18,309
2024-01-01,1,87,164,33,142
2024-01-01,1,88,271,16,233
2024-01-01,1,89,182,25,164
2024-01-01,1,90,179,60,184
2024-01-01,1,91,146,26,108
2024-01-01,1,92,125,32,134
2024-01-01,1,93,83,13,63
2024-01-01,1,94,149,15,126
2024-01-01,1,95,92,38,72
2024-01-01,1,96,238,10,199
2024-01-01,1,97,191,47,161
2024-01-01,1,98,181,19,200
2024-01-01,1,99,97,49,70
2024-01-01,1,100,123,42,88
2024-01-01,1,101,279,32,298
2024-01-01,1,102,111,27,85
2024-01-01,1,103,257,35,267
2024-01-01,1,104,309,39,305
2024-01-01,1,105,213,20,193
2024-01-01,1,106,290,31,301
2024-01-01,1,107,248,41,259
2024-01-01,1,108,335,16,309
2024-01-01,1,109,120,19,136
2024-01-01,1,110,145,32,107
2024-01-01,1,111,140,29,126
2024-01-01,1,112,144,48,105
2024-01-01,1,113,341,36,317
2024-01-01,1,114,253,39,262
2024-01-01,1,115,98,44,94
2024-01-01,1,116,220,29,213
2024-01-01,1,117,132,10,96
2024-01-01,1,118,108,13,72
2024-01-01,1,119,155,44,116
2024-01-01,1,120,245,47,259
2024-01-01,1,121,113,10,94
2024-01-01,1,122,312,11,310
2024-01-01,1,123,341,17,354
2024-01-01,1,124,289,29,306
2024-01-01,1,125,208,13,193
