return_id,order_id,return_date,customer_id,product_id,store_id,returned_qty,refund_amount,return_reason
1,41,2024-01-19,17123,303,6,2,55.22,Damaged
2,67,2024-01-20,23105,71,14,1,3.22,Not Needed
3,160,2024-01-11,15321,185,2,1,11.35,Damaged
4,178,2024-01-19,5005,394,17,1,13.78,Quality Issue
5,190,2024-01-07,17129,165,7,1,30.33,Not Needed
6,196,2024-01-06,22209,104,18,2,13.79,Not Needed
7,206,2024-01-08,16432,40,4,1,3.81,Quality Issue
8,304,2024-01-21,9439,104,10,1,21.5,Late Delivery
9,352,2024-01-07,15081,150,23,1,3.63,Late Delivery
10,390,2024-01-04,8588,316,33,1,6.93,Damaged
11,407,2024-01-16,896,125,30,2,19.48,Not Needed
12,414,2024-01-15,21905,212,1,1,17.35,Late Delivery
13,494,2024-01-08,21770,46,14,1,7.6,Damaged
14,578,2024-01-20,12702,330,20,1,14.85,Late Delivery
15,587,2024-01-06,19488,695,10,1,355.62,Not Needed
16,603,2024-01-11,5397,399,6,1,14.83,Not Needed
17,667,2024-01-21,12110,18,3,1,1.0,Damaged
18,674,2024-01-14,12195,288,11,2,59.67,Late Delivery
19,676,2024-01-19,10637,556,19,2,62.78,Not Needed
20,684,2024-01-03,14793,7,8,2,23.24,Not Needed
21,779,2024-01-05,148,175,16,1,5.71,Late Delivery
22,820,2024-01-15,876,2,29,2,15.89,Quality Issue
23,865,2024-01-08,4728,234,32,2,17.39,Not Needed
24,887,2024-01-15,15821,11,11,1,22.62,Not Needed
25,888,2024-01-08,6641,108,32,1,5.47,Late Delivery
26,903,2024-01-15,4179,101,15,1,8.4,Quality Issue
27,924,2024-01-14,13895,453,33,1,14.56,Damaged
28,982,2024-01-15,2399,68,21,2,45.21,Not Needed
29,1031,2024-01-20,1705,600,19,2,69.13,Not Needed
30,1162,2024-01-10,17679,78,19,1,6.69,Damaged
31,1192,2024-01-12,21976,376,17,1,25.75,Quality Issue
32,1283,2024-01-18,20451,122,8,1,3.78,Not Needed
33,1308,2024-01-18,10330,196,13,2,9.61,Not Needed
34,1408,2024-01-05,9091,320,20,1,11.86,Wrong Item
35,1411,2024-01-11,7740,571,34,1,90.43,Quality Issue
36,1447,2024-01-19,14507,625,10,1,416.7,Wrong Item
37,1458,2024-01-22,3652,314,31,1,14.16,Wrong Item
38,1499,2024-01-08,3916,197,10,2,7.71,Late Delivery
39,1663,2024-01-14,2431,211,13,2,33.37,Not Needed
40,1668,2024-01-13,9580,302,32,2,15.52,Not Needed
41,1812,2024-01-06,12231,420,19,1,13.64,Damaged
42,1885,2024-01-11,1698,346,32,2,29.39,Quality Issue
43,1974,2024-01-23,5921,450,14,2,21.13,Quality Issue
44,1985,2024-01-21,11638,550,13,1,19.31,Not Needed
45,2098,2024-01-11,6734,630,14,1,250.84,Quality Issue
46,2169,2024-01-15,3736,141,27,2,21.34,Not Needed
47,2189,2024-01-12,10940,526,14,1,24.68,Not Needed
48,2203,2024-01-20,19081,195,4,2,4.69,Not Needed
49,2228,2024-01-26,20823,78,9,2,23.19,Wrong Item
50,2244,2024-01-13,8119,146,28,1,10.61,Late Delivery
51,2288,2024-01-19,1889,251,26,1,16.38,Quality Issue
52,2406,2024-01-21,11501,180,14,2,2.55,Damaged
53,2431,2024-01-22,19772,597,29,1,97.74,Damaged
54,2446,2024-01-16,12707,136,9,2,12.88,Not Needed
55,2540,2024-01-24,19856,182,11,1,3.25,Quality Issue
56,2616,2024-01-13,12857,549,33,1,4.79,Wrong Item
57,2652,2024-01-23,7036,242,34,1,19.74,Quality Issue
58,2710,2024-01-08,5692,218,29,1,13.84,Wrong Item
59,2783,2024-01-16,22026,321,14,1,58.73,Wrong Item
60,2792,2024-01-24,2954,23,26,1,7.85,Not Needed
61,3019,2024-01-09,8617,606,27,1,303.46,Not Needed
62,3066,2024-01-16,2922,192,5,1,20.3,Damaged
63,3122,2024-01-18,19515,88,7,2,14.21,Not Needed
64,3152,2024-01-11,11284,447,29,1,26.93,Damaged
65,3166,2024-01-21,6356,326,34,1,24.7,Wrong Item
66,3173,2024-01-09,11165,106,34,1,8.26,Quality Issue
67,3329,2024-01-10,14482,188,12,1,10.15,Quality Issue
68,3422,2024-01-12,18960,160,10,1,10.44,Not Needed
69,3462,2024-01-18,7428,225,30,2,13.78,Not Needed
70,3541,2024-01-15,870,571,6,1,24.54,Quality Issue
71,3607,2024-01-24,21101,1,7,2,2.17,Wrong Item
72,3684,2024-01-13,22789,593,8,1,14.74,Quality Issue
73,3749,2024-01-17,20693,107,22,2,6.1,Wrong Item
74,3757,2024-01-22,21167,303,15,1,10.18,Damaged
75,3785,2024-01-20,5224,109,3,1,11.33,Quality Issue
76,3858,2024-01-13,1272,258,14,1,7.36,Quality Issue
77,3923,2024-01-21,18549,584,33,2,44.89,Quality Issue
78,3980,2024-01-19,24414,46,25,1,7.51,Not Needed
79,3985,2024-01-22,4411,672,12,1,99.37,Not Needed
80,4052,2024-01-30,4177,124,5,2,28.22,Late Delivery
81,4067,2024-01-11,8607,16,26,1,3.9,Quality Issue
82,4101,2024-01-21,21726,101,22,1,5.26,Wrong Item
83,4140,2024-01-30,2491,507,34,1,4.68,Damaged
84,4192,2024-01-13,14806,255,14,1,80.6,Not Needed
85,4253,2024-01-19,2763,236,9,1,8.16,Damaged
86,4291,2024-01-26,21315,367,2,1,12.02,Not Needed
87,4372,2024-01-12,1746,300,30,2,50.26,Not Needed
88,4457,2024-01-27,15680,271,33,1,4.79,Damaged
89,4513,2024-01-14,22882,135,31,1,16.44,Damaged
90,4596,2024-01-18,18048,416,21,1,8.29,Wrong Item
91,4606,2024-01-12,6365,41,18,1,13.89,Not Needed
92,4640,2024-01-29,7661,421,21,1,3.99,Not Needed
93,4664,2024-01-19,584,482,4,2,29.09,Damaged
94,4826,2024-01-14,12185,195,18,1,17.55,Damaged
95,4851,2024-01-15,20782,520,19,2,15.46,Quality Issue
96,4948,2024-02-01,20589,696,32,1,178.59,Not Needed
97,4973,2024-02-01,20007,682,20,1,171.54,Not Needed
98,5011,2024-02-01,13601,43,20,2,35.51,Quality Issue
99,5028,2024-01-27,6897,274,9,1,16.25,Damaged
100,5051,2024-01-14,23681,149,23,1,1.65,Not Needed
101,5080,2024-01-17,21026,704,21,1,313.92,Not Needed
102,5148,2024-01-25,5419,498,25,2,63.0,Wrong Item
103,5172,2024-01-14,22441,157,19,1,8.43,Not Needed
104,5250,2024-02-02,14158,216,25,1,14.17,Not Needed
105,5285,2024-01-26,14538,531,27,1,7.11,Damaged
106,5343,2024-01-23,7643,120,24,1,6.58,Not Needed
107,5426,2024-01-16,1945,299,1,2,79.99,Quality Issue
108,5446,2024-01-22,15139,186,19,1,2.81,Late Delivery
109,5490,2024-01-18,17289,507,19,1,4.42,Damaged
110,5562,2024-01-17,4933,10,15,1,16.98,Not Needed
111,5595,2024-01-20,14206,226,23,1,30.25,Quality Issue
112,5620,2024-01-26,23960,570,34,1,41.65,Not Needed
113,5621,2024-01-28,13915,480,7,1,6.07,Quality Issue
114,5622,2024-01-14,8892,273,20,1,17.44,Quality Issue
115,5728,2024-01-25,13548,520,8,1,4.82,Damaged
116,5758,2024-01-19,7159,306,9,1,89.63,Late Delivery
117,5765,2024-02-01,14408,630,16,1,360.45,Not Needed
118,5783,2024-01-24,6088,291,18,1,19.11,Not Needed
119,5813,2024-01-19,13541,622,17,1,89.53,Not Needed
120,5847,2024-02-01,5459,606,16,1,568.04,Not Needed
121,5856,2024-01-31,21884,61,14,1,6.59,Late Delivery
122,5859,2024-01-23,13632,257,26,1,6.86,Not Needed
123,5861,2024-01-28,22385,669,22,1,97.11,Quality Issue
124,5867,2024-01-21,13815,152,23,1,3.02,Not Needed
125,5876,2024-01-30,17926,209,21,2,7.08,Late Delivery
126,5937,2024-01-26,18975,603,18,1,302.62,Late Delivery
127,5942,2024-01-25,2824,271,33,1,3.91,Late Delivery
128,5970,2024-01-18,10982,1,21,1,4.64,Quality Issue
129,6001,2024-01-17,8395,134,26,1,25.57,Wrong Item
130,6094,2024-01-25,24958,62,32,1,14.96,Damaged
131,6162,2024-01-29,1100,573,19,2,23.51,Not Needed
132,6174,2024-01-27,3835,195,33,1,7.93,Wrong Item
133,6268,2024-01-22,23041,165,4,1,35.3,Quality Issue
134,6269,2024-01-31,10310,357,3,1,15.52,Not Needed
135,6309,2024-01-25,5112,556,25,1,45.39,Not Needed
136,6351,2024-01-30,13530,78,15,2,21.79,Not Needed
137,6397,2024-02-02,16451,245,30,1,9.89,Quality Issue
138,6412,2024-01-31,10662,103,26,1,9.92,Not Needed
139,6417,2024-01-18,10619,26,26,1,4.38,Not Needed
140,6463,2024-01-27,6506,678,14,1,282.64,Not Needed
141,6595,2024-01-18,4503,256,1,1,18.57,Not Needed
142,6706,2024-01-26,19575,37,18,2,44.83,Not Needed
143,6708,2024-01-25,3936,218,17,1,9.99,Late Delivery
144,6723,2024-02-02,8256,531,31,2,15.71,Quality Issue
145,6743,2024-01-22,6519,32,29,2,11.87,Damaged
146,6760,2024-01-18,20062,238,9,2,112.62,Wrong Item
147,6761,2024-01-19,8337,214,8,2,7.09,Late Delivery
148,6778,2024-01-29,18667,576,23,1,13.09,Quality Issue
149,6793,2024-01-20,7500,650,23,1,248.06,Damaged
150,6852,2024-02-02,15169,640,14,1,197.6,Not Needed
151,6853,2024-01-22,14669,5,8,1,50.63,Not Needed
152,6888,2024-01-26,14825,112,33,1,6.44,Wrong Item
